"Shoe Number","Visit Drop of Number","Engaged in Activities","Hours spent per Week","Anticipated Participation","Number of Steps","Notes","Hours Worn per Week","Hours Worn per Week Range10","Percent Time in Study Shoes of Total Time Wearing Shoes","Grassy Surfaces","Grassy Surfaces Clean","Indoor Surfaces","Indoor Surfaces Clean","Rocky Surfaces","Rocky Surfaces Clean","Muddy or Other Wet Surfaces","Muddy or Other Wet Surfaces Clean","Pavement Cement or Similar","Pavement Cement or Similar Clean","Sport Activities","Sport Activities Clean","Walking","Walking Clean","Dancing","Dancing Clean","Climbing","Climbing Clean","Hiking","Hiking Clean","Biking","Biking Clean"
"125","2","""Walking""","3-6 hours per week","All the time","389473","""2 roll overs""","50","41-50","60-80%","1 hour","0.5","196 hour (hard to read)","98","1 hour","0.5","1 hour","0.5","1 hour","0.5","10 hours","20","40 hours","80","0","0","0","0","0","0","0","0"
"5","2","""Sports activities, Walking""","3-6 hours per week","All the time","1204719","""NA""","NA","NA","80-100%","0.05","5","0.7","70","0","0","0.2","20","0.05","5","7","41.17647059","7","41.17647059","0","0","0","0","0","0","3","17.64705882"
"49","3","""Walking""","3-6 hours per week","4-6 times a week","315253","""NA""","NA","NA","NA","0.0","0","0.6","60","0","0","0","0","0.4","40","0","0","10","100","0","0","0","0","0","0","0","0"
"85","3","""Sports activities, Walking""","More than 6 hours per week","All the time","139912","""NA""","10","0-10","0-20%","0-20%","9.090909091","20-40%","27.27272727","0-20%","9.090909091","0-20%","9.090909091","40-60%","45.45454545","0","0","7","100","0","0","0","0","0","0","0","0"
"13","3","""Sports activities, Walking""","1-3 hours per week","4-6 times a week","231723","""NA""","10","0-10","0-20%","0.0","0","50","50","0","0","0","0","50","50","5","NA","5","NA","0","NA","0","NA","0","NA","0 (Possibly a 6) ","NA"
"64","2","""Sports activities, Walking""","3-6 hours per week","All the time","306178","""2 rollovers""","70","61-70","80-100%","0.1","10","0.3","30","0.1","10","0","0","0.5","50","10 times","NA","typical daily walking","NA","None","NA","None","NA","None","NA","10 times","NA"
"120","0","""""","","","0",""""""
"146","1","""Sports activities, Walking, Dancing""","More than 6 hours per week","All the time","25262","""NA""","7","0-10","20-40%","0.0","0","0.2","20","0","0","0.4","40","0.4","40","0","0","2","66.66666667","1","33.33333333","0","0","0","0","0","0"
"140","1","""Sports activities, Walking""","3-6 hours per week","4-6 times a week","71867","""NA""","NA","NA","20-40%","0.0","0","0.6","54.54545455","0","0","0.1","9.090909091","0.4","36.36363636","2 days/wk","50","2 days/wk","50","0","0","0","0","0","0","0","0"
"133","3","""Sports activities, Walking""","1-3 hours per week","4-6 times a week","339754","""one rollover""","NA","NA","40-60%","0.1","10","0.5","50","0.1","10","0.05","5","0.25","25","5","31.25","7","43.75","2","12.5","0","0","0","0","2","12.5"
"110","0","""""","","","0",""""""
"71","3","""Sports activities, Walking""","3-6 hours per week","All the time","329169","""NA""","50","41-50","60-80%","0.2","20","0.1","10","0.1","10","0.1","10","0.5","50","7","50","7","50","0","0","0","0","0","0","0","0"
"151","0","""""","","","0",""""""
"30","1","""Walking""","3-6 hours per week","4-6 times a week","135377","""""Rolled over 1 time on 12/25/17""""","15"," 11-20","20-40%","0.05","5","0.4","40","0.25","25","0","0","0.3","30","0","0","7 to 10","100","0","0","0","0","0","0","0","0"
"105","3","""Walking""","1-3 hours per week","4-6 times a week","441144","""NA""","50","41-50","80-100%","0.01","1","0.7","70","0.01","1","0.01","1","0.27","27","0","0","1","100","0","0","0","0","0","0","0","0"
"34","2","""Sports activities, Walking, Climbing""","3-6 hours per week","4-6 times a week","379789","""NA""","NA","NA","40-60%","8 hours","21.62162162","10 hours","27.02702703","1 hour","2.702702703","8 hours","21.62162162","10 hours","27.02702703","3 hours","11.53846154","20 hours","76.92307692","1 hour","3.846153846","1 hour","3.846153846","0 hours","0","1 hour","3.846153846"
"33","3","""Walking""","3-6 hours per week","4-6 times a week","504923","""2 rollovers""","60 to 70 ","61-70","60-80%","0.0","0","0.5","50","0","0","0","0","0.5","50","0","0","7","100","0","0","0","0","0","0","0","0"
"65","1","""Sports activities, Walking, Climbing, Hiking""","More than 6 hours per week","All the time","204590","""2 rollovers""","6","0-10","40-60%","0.0","0","70","70","10","10","0","0","20","20","0","0","6","100","0","0","0","0","0","0","0","0"
"36","2","""Sports activities, Walking""","More than 6 hours per week","4-6 times a week","235463","""NA""","24","21-30","20-40%","0.0","0","0.5","50","0","0","0.25","25","0.25","25","1 day","50","1 day","50","0","0","0","0","0","0","0","0"
"100","0","""""","","","0",""""""
"38","2","""Walking, Hiking""","More than 6 hours per week","4-6 times a week","368218","""NA""","NA","NA","40-60%","0.0","0","0.85","85","0.1","10","0","0","0.05","5","0","0","40","93.02325581","0","0","0","0","3","6.976944186","0","0"
"56","1","""Sports activities, Walking, Hiking""","3-6 hours per week","4-6 times a week","401228","""4 times rolled over""","8","0-10","60-80%","5.0","5","70","70","5","5","10","10","10","10","2","20","4","40","0","0","0","0","4 (less than one)","40","0","0"
"107","3","""Sports activities, Walking, Hiking""","3-6 hours per week","4-6 times a week","262672","""No rollovers""","NA","NA","40-60%","0.05","5","0.2","20","0.1","10","0.15","15","0.5","50","0.2","20","0.8","80","0","0","0","0","0","0","0","0"
"120","2","""Sports activities, Walking, Dancing""","3-6 hours per week","All the time","430712","""NA""","30","21-30","60-80%","0.1","10","0.1","10","0.15","15","0.05","5","0.6","60","2/week","10.52631579","17 times/week","89.47368421","0","0","0","0","0","0","0","0"
"124","1","""Sports activities, Walking""","1-3 hours per week","4-6 times a week","120353","""1 rollover""","10","0-10","40-60%","0.0","0","0.06","13.04347826","0","0","0.05","10.86956522","0.35","76.08695652","1","25","3","75","0","0","0","0","0","0","0","0"
"15","2","""Walking, Hiking""","1-3 hours per week","4-6 times a week","394423","""put 30-40 for average hours shoes were worn, 2 rollovers""","30 to 40","31-40","80-100%","0-20%","6.666666667","80-100%","60","0-20%","6.666666667","0-20%","6.666666667","20-40%","20","0-20%","7.142857143","80-100%","64.28571429","0-20%","7.142857143","0-20%","7.142857143","0-20%","7.142857143","0-20%","7.142857143"
"18","1","""Sports activities, Walking""","3-6 hours per week","4-6 times a week","48000","""Noted by participant- Pedometer not working""","2","0-10","20-40%","0.0","0","yes","-50","0","0","yes","-50","yes","-50","yes","-50","0","0","0","0","0","0","0","0","0","0"
"35","0","""""","","","0",""""""
"48","0","""""","","","0",""""""
"61","3","""Sports activities, Walking""","3-6 hours per week","4-6 times a week","475736","""NA""","20"," 11-20","40-60%","0.1","10","0.35","35","0.05","5","0.1","10","0.4","40","2","20","7","70","0","0","0","0","0","0","1","10"
"138","0","""""","","","0",""""""
"22","0","""""","","","0",""""""
"89","3","""Sports activities, Walking""","3-6 hours per week","4-6 times a week","2008414","""4 rollouts""","42","41-50","60-80%","0.0","0","0.5","50","0.1","10","0","0","0.4","40","5","41.66666667","6","50","0","0","0","0","0","0","1","8.333333333"
"144","0","""""","","","0",""""""
"116","1","""Sports activities, Walking, Hiking""","3-6 hours per week","4-6 times a week","52820","""NA""","18"," 11-20","20-40%","0.0","0","0.2","20","0","0","0.1","10","0.7","70","0","0","4","80","1","20","0","0","0","0","0","0"
"145","2","""Sports activities, Walking, Dancing""","More than 6 hours per week","All the time","286877","""NA""","8","0-10","80-100%","0.05","5","0.3","30","0.1","10","0.05","5","0.5","50","7","35","7","35","3","15","0","0","2","10","1","5"
"117","1","""Sports activities, Walking, Dancing""","1-3 hours per week","Once to three times a week","91394","""NA""","10 to 12"," 11-20","20-40%","0.0","0","0.7","70","0","0","0.1","10","0.2","20","4 times","57.14285714","3 times","42.85714286","0","0","0","0","0","0","0","0"
"157","0","""""","","","0",""""""
"131","0","""""","","","0",""""""
"8","3","""Sports activities, Walking""","1-3 hours per week","Once to three times a week","388514","""NA""","40","31-40","80-100%","0.08","8","0.8","80","0","0","0.02","2","0.1","10","0","0","7 everyday ","45.16129032","1 to 2","9.36774E+15","7 (stairs)","45.16129032","0","0","0","0"
"40","1","""Walking, Hiking""","More than 6 hours per week","4-6 times a week","129282","""""Need new Pedometer""""","30","21-30","40-60%","5.0","5","40","40","10","10","5","5","40","40","3 to 2 hour times","NA","5 days/week","NA","0","NA","0","NA","2X 1hour/week","NA","0","NA"
"74","1","""Sports activities, Walking""","3-6 hours per week","4-6 times a week","56815","""""9 hrs. To"," from"," and on campus = 36?""""","36?","NA","40-60%","least","-50","most","-50","0","0","most","-50","most","-50","3","42.85714286","4","57.14285714","0","0","0","0","0","0","0","0"
"102","3","""Sports activities, Walking""","More than 6 hours per week","4-6 times a week","352531","""NA""","30","21-30","60-80%","5.0","5","80","80","0","0","5","5","10","10","3","37.5","5","62.5","0","0","0","0","0","0","0","0"
"31","1","""Sports activities, Walking""","More than 6 hours per week","4-6 times a week","154034","""""1 Rollover""""","30","21-30","0-20%","0.0","0","0.6","60","0","0","0.1","10","0.3","30","0","0","7 - everyday","100","0","0","0","0","0","0","0","0"
"142","1","""Sports activities, Walking""","3-6 hours per week","4-6 times a week","178403","""NA""","20"," 11-20","80-100%","0.05","5","0.7","70","0.05","5","0.1","10","0.1","10","0","0","100% of the time","100","0","0","0","0","0","0","0","0"
"125","0","""""","","","0",""""""
"133","2","""Sports activities, Walking""","1-3 hours per week","4-6 times a week","224589","""NA""","NA","NA","40-60%","0.1","10","0.6","60","0.1","10","0.1","10","0.1","10","10","33.33333333","15","50","0","0","0","0","0","0","5","16.66666667"
"31","2","""Sports activities, Walking""","More than 6 hours per week","4-6 times a week","202556","""put 10-12 hours for average hours shoes were worn""","10 to 12"," 11-20","20-40%","0.0","0","0.8","80","0","0","0","0","0.2","20","0","0","7","100","0","0","0","0","0","0","0","0"
"50","1","""Sports activities, Walking""","More than 6 hours per week","All the time","338145","""Rolled over 3x, rolled over 1 time without hitting 100,000""","100 to 110","101-110","60-80%","0.01","1","0.47","47","0.01","1","0.01","1","0.5","50","1-2 times","3.896103896","30-40 times","90.90909091","2 times","5.194805195","0","0","0","0","0","0"
"7","0","""""","","","0",""""""
"116","3","""Sports activities, Walking, Hiking""","3-6 hours per week","4-6 times a week","211494","""one rollover""","2 to 3","0-10","20-40%","0.0","0","0.15","15","0","0","0.05","5","0.8","80","0","0","6","54.54545455","2","18.18181818","0","0","0","0","3","27.27272727"
"150","0","""""","","","0",""""""
"124","3","""Sports activities, Walking""","1-3 hours per week","4-6 times a week","237672","""NA""","6","0-10","20-40%","0.05","5","0.05","5","0","0","0","0","0.9","90","0","0","3","100","0","0","0","0","0","0","0","0"
"121","2","""Walking""","1-3 hours per week","All the time","539151","""10 hours a day on weekdays and 5 hours a day on weekends""","60","51-60","80-100%","0.1","10","0.2","20","0.05","5","0.05","5","0.6","60","0","0","30","96.77419355","0","0","0","0","1","3.225806452","0","0"
"137","1","""Walking""","1-3 hours per week","4-6 times a week","169101","""one rollover""","40","31-40","80-100%","0.0","0","0.7","70","0","0","0","0","0.3","30","1","9.909090909","10","90.90909091","0","0","0","0","0","0","0","0"
"119","0","""""","","","0",""""""
"51","3","""Walking, Climbing""","1-3 hours per week","4-6 times a week","551327","""NA""","15"," 11-20","20-40%","0.0","0","10","9.090909091","15","13.63636364","0","0","85","77.27272727","10","10","90","90","0","0","0","0","0","0","0","0"
"54","0","""""","","","0",""""""
"59","1","""Walking""","3-6 hours per week","All the time","217092","""rolled over twice""","NA","NA","40-60%","0.0","0","0.9","90","0","0","0.1","10","0","0","0","0","100%"," 4/7 days","100","0","0","0","0","0","0","0","0"
"35","1","""Sports activities, Walking""","1-3 hours per week","All the time","235540","""""Rolled over 2 times""""","32","31-35","40-60%","0.1","10","0.15","15","0","0","0.1","10","0.65","65","3 to 4 times","41.17647059","5 times","58.82352941","0","0","0","0","0","0","0","0"
"156","2","""Sports activities, Walking""","1-3 hours per week","All the time","133123","""NA""","6 to 7","0-10","0-20%","0.0","0","50","50","0","0","25","25","25","25","0","0","5","100","0","0","0","0","0","0","0","0"
"53","2","""Walking""","3-6 hours per week","All the time","312016","""put 14-18 for average hours shoes were worn""","14 to 18"," 11-20","20-40%","0.05","5","0.8","80","0","0","0.05","5","0.1","10","None","0","5x a week","100","None","0","None","0","None","0","None","0"
"70","1","""Sports activities, Walking, Hiking""","3-6 hours per week","All the time","85812","""NA""","24","21-30","0-20%","20.0","14.28571429","20","14.28571429","20","14.28571429","20","14.28571429","60","42.85714286","9","NA","all the time","NA","0","NA","0","NA","0","NA","20 times","NA"
"60","0","""""","","","0",""""""
"100","1","""Walking, Climbing""","1-3 hours per week","All the time","135030","""NA""","50","41-50","60-80%","0.0","0","75","75","0","0","20","20","5","5","0","0","100","100","0","0","0","0","0","0","0","0"
"87","0","""""","","","0",""""""
"93","0","""""","","","0",""""""
"52","2","""Sports activities, Walking""","More than 6 hours per week","4-6 times a week","606116","""needs new pedomiter""","NA","NA","40-60%","0.0","0","0.25","25","0","0","0.25","25","0.5","50","5","50","5","50","0","0","0","0","0","0","0","0"
"16","0","""""","","","0",""""""
"62","1","""Walking""","1-3 hours per week","4-6 times a week","83643","""No rollover""","10","0-10","NA","0.0","0","0.6","60","0","0","0.05","5","0.35","35","0","0","3","75","1","25","0","0","0","0","0","0"
"104","1","""Walking""","3-6 hours per week","4-6 times a week","143944","""1 rollover ""","50","41-50","80-100%","0.0","0","0.6","60","0","0","0","0","0.4","40","0","0","5 days/wk","100","0","0","0","0","0","0","0","0"
"1","2","""Sports activities, Walking""","3-6 hours per week","4-6 times a week","418438","""1 rollover""","50","41-50","60-80%","0.05","5","0.75","75","0","0","0.05","5","0.15","15","0","0","0","0","0","0","0","0","0","0","0","0"
"88","2","""Walking""","3-6 hours per week","4-6 times a week","263955","""1 rollover""","15"," 11-20","20-40%","0.03","3.157894737","0.8","84.21052632","0","0","0.02","2.105263158","0.1","10.52631579","3","20","12","80","0","0","0","0","0","0","0","0"
"136","1","""Sports activities, Walking, Hiking""","3-6 hours per week","Once to three times a week","81000","""NA""","15"," 11-20","0-20%","0.1","10","0.2","20","0","0","0.1","10","0.6","60","0","0","2","50","0","0","0","0","0","0","2","50"
"16","3","""Sports activities, Walking""","More than 6 hours per week","Once to three times a week","550443","""NA""","40","31-40","20-40%","0.1","10","0.2","20","0","0","0.2","20","0.5","50","0","0","6","100","0","0","0","0","0","0","0","0"
"119","2","""Sports activities, Walking, Dancing, Hiking""","1-3 hours per week","Once to three times a week","226339","""NA""","12"," 11-20","0-20%","25.0","25","25","25","13","13","12","12","25","25","15","15","80","80","5","5","0","0","0","0","0","0"
"80","0","""""","","","0",""""""
"67","0","""""","","","0",""""""
"14","3","""Sports activities, Walking""","3-6 hours per week","Once to three times a week","214961","""NA""","NA","NA","20-40%","0.2","20","0.5","50","0","0","0","0","0.3","30","1","25","3","75","0","0","0","0","0","0","0","0"
"93","1","""Walking, Dancing, Hiking""","1-3 hours per week","4-6 times a week","121024","""1 rollover""","20"," 11-20","80-100%","0.0","0","0","0","0","0","snow - 80%","80","pavement - 20%","20","0","0","5-6 times","100","0","0","0","0","0","0","0","0"
"112","0","""""","","","0",""""""
"149","2","""Walking""","More than 6 hours per week","4-6 times a week","134051","""NA""","20"," 11-20","20-40%","0.0","0","0.1","10","0.1","10","0","0","0.8","80","5","45.45454545","5 to 7","54.54545455","0","0","0","0","0","0","0","0"
"117","3","""Sports activities, Walking, Dancing""","1-3 hours per week","Once to three times a week","287080","""NA""","15"," 11-20","20-40%","0.1","10","0.5","50","0","0","0.05","5","0.35","35","0","0","2","100","0","0","0","0","0","0","0","0"
"78","1","""Sports activities, Walking""","More than 6 hours per week","4-6 times a week","30664","""Blank for Day""","24-36","21-30","40-60%","0.0","0","0.4","40","0.1","10","0.1","10","0.4","40","2","15.38461538","10+","76.92307692","1","7.692307692","0","0","0","0","0","0"
"138","2","""Walking""","None","Once to three times a week","160278","""NA""","25","21-30","60-80%","15.0","15","55","55","5","5","5","5","20","20","X","0","5","100","X","0","X","0","X","0","X","0"
"87","3","""Walking, Hiking""","3-6 hours per week","All the time","177371","""NA""","40","31-40","20-40%","0.1","10","0.5","50","0","0","0.1","10","0.3","30","0.3","30","0.5","50","0","0","0","0","0","0","0.2","20"
"72","2","""Walking""","3-6 hours per week","4-6 times a week","157139","""1 rollover""","20x6=120","NA","60-80%","20.0","20","0","0","20","20","30","30","30","30","0","0","4","57.14285714","0","0","0","0","1","14.28571429","2","28.57142857"
"21","3","""Sports activities, Walking""","3-6 hours per week","4-6 times a week","242220","""NA""","40","31-40","40-60%","0.1","10","0.6","60","0","0","0.1","10","0.2","20","0","0","1","100","0","0","0","0","0","0","0","0"
"80","3","""Sports activities, Walking""","3-6 hours per week","Once to three times a week","587395","""NA""","40","31-40","60-80%","0.2","20","0.4","40","0.1","10","0.1","10","0.2","20","3","25","5","41.66666667","0","0","1","8.333333333","1","8.333333333","2","16.66666667"
"106","0","""""","","","0",""""""
"42","0","""""","","","0",""""""
"35","2","""Sports activities, Walking""","1-3 hours per week","All the time","295131","""NA""","40","31-40","60-80%","0.1","10","0.05","5","0","0","0.05","5","0.8","80","4","40","6","60","0","0","0","0","0","0","0","0"
"124","0","""""","","","0",""""""
"139","2","""Sports activities, Walking""","More than 6 hours per week","4-6 times a week","45812","""NA""","8","0-10","20-40%","0.03","3","0.03","3","0.02","2","0.2","20","0.72","72","2","16.66666667","10","83.33333333","0","0","0","0","0","0","0","0"
"126","2","""Walking""","More than 6 hours per week","All the time","193371","""NA""","50","41-50","60-80%","1 hr","0.5","196 hr","98","1 hr","0.5","1 hr","0.5","1hr","0.5","10 hours","20","40 hours","80","0","0","0","0","0","0","0","0"
"83","2","""Walking""","3-6 hours per week","4-6 times a week","105505","""NA""","NA","NA","0-20%","0.0","0","0.5","50","0","0","0.2","20","0.3","30","0","0","1 to 2 times","100","0","0","0","0","0","0","0","0"
"127","3","""Walking, Dancing""","1-3 hours per week","4-6 times a week","196927","""NA"""," 10-15"," 11-20","40-60%","0.3","30","0.2","20","0","0","0","0","0.5","50","2","28.57142857","5","71.42857143","0","0","0","0","0","0","0","0"
"34","3","""Sports activities, Walking, Climbing""","3-6 hours per week","4-6 times a week","523228","""1 rollover""","20"," 11-20 ","40-60%","2.0","6.060606061","10","30.3030303","1","3.03030303","10","30.3030303","10","30.3030303","3","8.823529412","30","88.23529412","1","2.941176471","0","0","0","0","0","0"
"74","3","""Sports activities, Walking""","3-6 hours per week","4-6 times a week","352308","""1 rollover""","20?","NA","40-60%","0.3","30","0.4","40","0","0","0.1","10","0.2","20","x3","42.85714286","x4","57.14285714","0","0","0","0","0","0","0","0"
"21","0","""""","","","0",""""""
"68","3","""Walking""","3-6 hours per week","4-6 times a week","444451","""NA""","2x","0-10","20-40%","0.2","20","0.3","30","0.1","10","0.1","10","0.3","30","1x a week","33.33333333","2x a week","66.66666667","0x a week","0","0x a week","0","0x a week","0","0x a week","0"
"1","0","""""","","","0",""""""
"151","3","""Sports activities, Walking""","More than 6 hours per week","4-6 times a week","351560","""one rollover""","10","0-10","20-40%","10.0","10","50","50","0","0","0","0","40","40","5","45.45454545","5","45.45454545","1","9.090909091","0","0","0","0","0","0"
"28","1","""Walking, Hiking""","3-6 hours per week","All the time","103540","""""Rolled over once""""","20 to 30","21-30","20-40%","0.1","10","0.4","40","0.05","5","0.15","15","0.3","30","5","29.41176471","10","58.82352941","1","5.882352941","0","0","1","5.882352941","0","0"
"36","1","""Sports activities, Walking""","More than 6 hours per week","4-6 times a week","179318","""""Rolled over once""""","24","21-30","0-20%","1 over 8","12.5","4 over 8","50","0","0","1 over 8","12.5","1 over 4","25","once a week","33.3333333","twice a week","66.66666667","0","0","0","0","0","0","0","0"
"7","1","""Walking""","More than 6 hours per week","4-6 times a week","98753","""NA""","14"," 11-20","20-40%","0.1","10","0.4","40","0","0","0.1","10","0.4","40","0","0","most","100","0","0","0","0","0","0","0","0"
"77","2","""Walking, Climbing, Hiking""","3-6 hours per week","All the time","268950","""NA""","70","61-70","60-80%","0.1","10","0.2","20","0.05","5","0.05","5","0.6","60","0","0","10","37.03703704","0","0","0","0","2","7.407407407","15","55.55555556"
"92","0","""""","","","0",""""""
"120","1","""Sports activities, Walking, Dancing""","3-6 hours per week","All the time","222636","""2 rollovers""","8","0-10","60-80%","15.0","13.63636364","20","18.18181818","0","0","5","4.545454545","70","63.63636364","Jogging x 1 week","12.5","every day","87.5","0","0","0","0","0","0","0","0"
"145","0","""""","","","0",""""""
"47","3","""Walking, Dancing""","More than 6 hours per week","4-6 times a week","136200","""NA""","16"," 11-20","20-40%","0.0","0","0.5","50","0","0","0","0","0.5","50","0","0","2 days","100","0","0","0","0","0","0","0","0"
"28","0","""""","","","0",""""""
"151","2","""Sports activities, Walking""","More than 6 hours per week","4-6 times a week","233647","""NA""","6","0-10","0-20%","0.1","10","0.1","10","0.1","10","0.1","10","0.6","60","1","20","2","40","2","40","0","0","0","0","0","0"
"32","2","""Sports activities, Walking, Hiking""","1-3 hours per week","Once to three times a week","201677","""NA""","20"," 11-20","20-40%","0.15","15","0.2","20","0","0","0.15","15","0.5","50","1 to 2","21.42857143","5 to 6","78.57142857","0","0","0","0","0","0","0","0"
"21","1","""Sports activities, Walking""","3-6 hours per week","4-6 times a week","91697","""NA""","24","21-30","20-40%","5.0","5","70","70","0","0","5","5","20","20","0","0","2","100","0","0","0","0","0","0","0","0"
"83","3","""Walking""","3-6 hours per week","4-6 times a week","185641","""accidentally reset""","2 to 3","0-10","20-40%","0.1","10","0.5","50","0.05","5","0.05","5","0.3","30","0","0","3","100","0","0","0","0","0","0","0","0"
"104","2","""Walking""","3-6 hours per week","4-6 times a week","344810","""2 rollovers""","NA","NA","80-100%","0.4","40","0.2","20","0.05","5","0.05","5","0.3","30","0.1","10","0.8","80","0","0","0","0","0","0","0.1","10"
"11","2","""Walking, Hiking""","1-3 hours per week","Once to three times a week","117153","""NA""","16"," 11-20","20-40%","0.1","10","0.4","40","0","0","0.1","10","0.4","40","0","0","2","100","0","0","0","0","0","0","0","0"
"113","0","""""","","","0",""""""
"33","1","""Walking""","3-6 hours per week","4-6 times a week","153643","""""Rollover 1 time""""","40","31-40","60-80%","0.0","0","0.7","70","0","0","0","0","0.3","30","0","0","6 days/week","100","0","0","0","0","0","0","0","0"
"44","2","""Walking, Hiking""","3-6 hours per week","4-6 times a week","280945","""NA""","NA","NA","20-40%","0.0","0","0.05","5","0.05","5","0.1","10","0.8","80","0","0","5","100","0","0","0","0","0","0","0","0"
"129","1","""Sports activities, Walking""","3-6 hours per week","All the time","55137","""NA""","8","0-10","20-40%","0.05","5","0.05","5","0","0","0","0","0.9","90","2 hours","25","6 hours","75","0","0","0","0","0","0","0","0"
"148","3","""Sports activities""","3-6 hours per week","4-6 times a week","832911","""NA""","9 to 12 hr/week","NA","40-60%","0.0","0","0.85","85","0","0","0.05","5","0.1","10","7 to 9","64","2 to 3","20","0","0","0","0","0","0","1 to 3","16"
"105","0","""""","","","0",""""""
"40","0","""""","","","0",""""""
"68","0","""""","","","0",""""""
"6","3","""Sports activities, Walking""","3-6 hours per week","4-6 times a week","644104","""NA""","45","41-50","60-80%","0.05","5","0.3","30","0.1","10","0.15","15","0.4","40","1","25","4","75","0","0","0","0","0","0","0","0"
"48","1","""Sports activities, Walking, Climbing""","3-6 hours per week","All the time","500993","""rolled over 5 times""","60","51-60","80-100%","10.0","10","20","20","10","10","10","10","50","50","3","10.71428571","20","71.42857143","0","0","0","0","0","0","5","17.85714286"
"79","0","""""","","","0",""""""
"112","3","""Walking, Climbing, Hiking""","More than 6 hours per week","All the time","354775","""one rollover""","56+","NA","60-80%","0.2","20","0.2","20","0.1","10","0.2","20","0.3","30","10","28.57142857","20","57.14285714","0","0","0","0","0","0","5","14.28571429"
"103","2","""Sports activities, Walking, Hiking""","More than 6 hours per week","4-6 times a week","890851","""4 times rolled over""","NA","NA","60-80%","0.05","5","0.55","55","0.05","5","0","0","0.35","35","6","37.5","10","62.5","0","0","0","0","0","0","0","0"
"45","3","""Sports activities, Walking""","1-3 hours per week","Once to three times a week","343121","""no rollover ""","15 to 18 "," 11-20","40-60%","0.05","5","0.35","35","0","0","0","0","0.6","60","yes","-50","yes","-50","0","0","0","0","0","0","0","0"
"76","1","""Walking""","More than 6 hours per week","4-6 times a week","47651","""NA""","3","0-10","0.2","0.0","0","0.4","40","0.2","20","0","0","0.4","40","50% 3-4","50","50% 3-4","50","0","0","0","0","0","0","0","0"
"94","3","""Sports activities, Walking""","3-6 hours per week","4-6 times a week","359690","""NA""","5","0-10","40-60%","0.05","5","0.5","50","0","0","0.05","5","0.4","40","1","12.5","7","87.5","0","0","0","0","0","0","0","0"
"37","1","""Sports activities, Walking, Climbing, Hiking""","3-6 hours per week","4-6 times a week","152999","""""reset 1 time""""","15 to 20"," 11-20","40-60%","0.35","30.43478261","0.2","17.39130435","0.1","8.695652174","0","0","0.5","43.47826087","5 or more","50","5 or more","50","0","0","0","0","0","0","0","0"
"56","3","""Sports activities, Walking, Hiking""","3-6 hours per week","4-6 times a week","705258","""rolled over twice""","NA","NA","40-60%","0.05","5","0.6","60","0","0","0.05","5","0.3","30","1","12.5","7 days/wk","87.5","0","0","0","0","0","0","0","0"
"10","0","""""","","","0",""""""
"99","0","""""","","","0",""""""
"159","3","""Walking""","3-6 hours per week","4-6 times a week","209005","""NA""","45","41-50","20-40%","0.05","4.545454545","0.2","18.18181818","0.1","9.090909091","0.15","13.63636364","0.6","54.54545455","1 to 2","25","3 to 4","58.33333333","1","16","0","0","0","0","0","0"
"81","0","""""","","","0",""""""
"122","1","""Sports activities, Walking""","More than 6 hours per week","4-6 times a week","231658","""rollover 2 times""","120","111-120","60-80%","0.0","0","0.3","30","0","0","0.3","30","0.4","40","5","45.45454545","5","45.45454545","0","0","0","0","0","0","1","9.090909091"
"29","0","""""","","","0",""""""
"84","3","""Sports activities, Walking, Dancing, Climbing, Hiking""","More than 6 hours per week","4-6 times a week","195541","""NA""","NA","NA","40-60%","0.1","10","0.4","40","0","0","0","0","0.5","50","0","0","4","100","0","0","0","0","0","0","0","0"
"146","2","""Sports activities, Walking, Dancing""","More than 6 hours per week","All the time","94098","""NA""","5","0-10","20-40%","0.0","0","0.75","75","0","0","0","0","0.25","25","0","0","2","50","2","50","0","0","0","0","0","0"
"75","1","""Walking, Hiking""","3-6 hours per week","4-6 times a week","53068","""NA""","30 to 35","31-40","20-40%","28.0","28","55","55","2","2","0","0","15","15","2","25","6","75","0","0","0","0","0","0","0","0"
"127","2","""Walking, Dancing""","1-3 hours per week","4-6 times a week","146591","""NA""","10","0-10","60-80%","0.0","0","0.25","25","0.05","5","0.2","20","50","50","0","0","15","75","2","10","3","15","0","0","0","0"
"98","2","""Sports activities, Walking, Hiking""","3-6 hours per week","All the time","800678","""NA""","40","31-40","60-80%","0.05","5","0.5","50","0.1","10","0.2","20","0.15","15","yes","-50","yes","-50","No","0","yes","-50","No","0","yes (gym)","-50"
"23","2","""Walking, Dancing""","3-6 hours per week","4-6 times a week","257875","""NA""","NA","NA","20-40%","0.1","10","0.4","40","0.1","10","0.2","20","0.2","20","0","0","15","42.85714286","20","57.14285714","0","0","0","0","0","0"
"61","0","""""","","","0",""""""
"19","2","""Walking""","3-6 hours per week","4-6 times a week","204307","""NA""","20"," 11-20","0-20%","0.0","0","85","85","0","0","5","5","10","10","2","40","3","60","0","0","0","0","0","0","0","0"
"82","3","""Sports activities, Walking, Dancing""","More than 6 hours per week","4-6 times a week","220775","""NA""","NA","NA","20-40%","0.1","10","0.5","50","0.1","10","0.1","10","0.2","20","1","16.66666667","3","50","2","33.33333333","0","0","0","0","0","0"
"49","0","""""","","","0",""""""
